4319,PCMTD1
4320,HTR1B
4321,TRAF3IP1
4322,CLIC1
4323,FNBP1L
4324,MAN1B1
4325,PKP1
4326,MCM5
4327,AAMP
4328,RBM27
4329,RAD9A
4330,COQ2
4331,IFIT5
4332,TRAPPC5
4333,LUC7L2
4334,LEMD2
4335,EPHA4
4336,FBXO45
4337,BMP10
4338,PPA1
4339,SRRT
4340,LANCL1
4341,CALCOCO2
4342,PHF10
4343,GCN1
4344,NUMBL
4345,MYRIP
4346,NFATC2
4347,MCM4
4348,RPA4
4349,PAPPA2
4350,SRSF5
4351,SF1
4352,GPR101
4353,DNAJC1
4354,ANO1
4355,CNTROB
4356,PPP4R3A
4357,BICD2
4358,MRPL55
4359,ZCCHC8
4360,ELAVL3
4361,BIRC6
4362,TAF6L
4363,ANAPC11
4364,PFDN6
4365,RNF186
4366,SLC4A1AP
4367,EIF4H
4368,UBE2S
4369,GRP
4370,REST
4371,LAPTM4A
4372,TBCD
4373,ADGRB3
4374,CAPN2
4375,NUBPL
4376,JDP2
4377,ADRA1B
4378,ARSB
4379,DSTYK
4380,ZNF224
4381,AFAP1L2
4382,SCYL1
4383,MLC1
4384,PACS2
4385,VPS41
4386,PNLIPRP2
4387,KPNA4
4388,DUSP4
4389,FBXO24
4390,EIF3B
4391,CDK13
4392,MAS1
4393,PFKM
4394,SUV39H1
4395,ASPH
4396,KLF1
4397,ZNF318
4398,NPAS3
4399,TAF1C
4400,H1-2
4401,RALB
4402,IHH
4403,EIF3L
4404,SLC16A1
4405,APH1A
4406,ERLIN2
4407,RAB2A
4408,EHD1
4409,AMMECR1
4410,EXT1
4411,DYNLT1
4412,SAP30
4413,ANAPC5
4414,TRAK2
4415,OGG1
4416,FKBP1B
4417,CYP19A1
4418,ADGRL1
4419,CYB5A
4420,MYO18A
4421,CYP1B1
4422,NDC80
4423,P2RY2
4424,EIF3C
4425,WFDC2
4426,SPG11
4427,HBEGF
4428,CASP4
4429,RFWD3
4430,RNF121
4431,PRB2
4432,ZNF365
4433,RASAL1
4434,PCMTD2
4435,GMEB2
4436,RAB4A
4437,ARFGEF2
4438,KMT2B
4439,SGSM2
4440,PLOD1
4441,ITM2C
4442,RASA4
4443,OGA
4444,SOCS5
4445,FBXL6
4446,MELK
4447,MR1
4448,GABBR2
4449,IRF2BP1
4450,SLC6A2
4451,RNF183
4452,MRPL54
4453,ADM
4454,CREB5
4455,NLGN1
4456,PSMB6
4457,EBP
4458,ZNF350
4459,HNRNPR
4460,ASB2
4461,SGK3
4462,HNRNPUL1
4463,ZNF384
4464,RNASE1
4465,STX4
4466,GPR132
4467,SPEN
4468,PCNT
4469,RBM38
4470,NAMPT
4471,TUBB2A
4472,NOM1
4473,OTUB1
4474,GPR61
4475,TGFBRAP1
4476,NMT1
4477,DOP1A
4478,AURKAIP1
4479,GHITM
4480,CHD1L
4481,EMC9
4482,PLN
4483,TMEM30A
4484,CDC42BPG
4485,IL33
4486,ZNF592
4487,CD34
4488,LGALS4
4489,PPTC7
4490,NAB1
4491,FBXO41
4492,FCGR3B
4493,MAP6
4494,NR0B1
4495,AATF
4496,TPRA1
4497,FANCE
4498,SRSF6
4499,ZC3H12A
4500,GAL
4501,PLIN2
4502,NEURL1
4503,DARS1
4504,SV2A
4505,BMP8B
4506,HPS5
4507,TRPV1
4508,JKAMP
4509,FNTB
4510,UQCRH
4511,TUBGCP2
4512,PCCA
4513,WDR19
4514,GOLPH3
4515,AGR3
4516,UBE3D
4517,CCAR1
4518,ZNF512
4519,RBBP9
4520,FCN3
4521,AQP2
4522,GREM1
4523,FCGBP
4524,DNM1
4525,GPR183
4526,OS9
4527,SUPT5H
4528,ZNF326
4529,STRN
4530,RBM23
4531,WAC
4532,MALL
4533,MBIP
4534,NUP42
4535,GSKIP
4536,GSR
4537,PPP2R3C
4538,EIF2AK4
4539,USP5
4540,SH3RF1
4541,AVPR2
4542,COG1
4543,DOCK3
4544,SH3GLB1
4545,MRPL57
4546,MED25
4547,H3C2
4548,TBL2
4549,HBG1
4550,MRPL52
4551,YIF1A
4552,RRAGA
4553,RABGAP1
