GeneSymbol,gene_expression
MYCBP2,4.2775051112438485
FBXL3,3.91787745480499
ITGAL,0.8947165678854527
PDK2,3.7142055601909933
ITGA3,5.713688987320328
ZFX,3.029744387483096
LAMP2,5.845852999491337
ITGA2B,0.8291216909624516
ASB4,0.2866696287194342
GDE1,5.338066072694051
REX1BD,4.775357562262467
CRLF1,2.7116447408243016
OSBPL7,2.7625438932924413
TMEM98,3.329227308008704
YBX2,1.4572816657934204
KRT33A,0.03603087037723314
MAP3K14,3.1238618564978875
ABCC8,0.4220198001183773
CACNG3,0.033010683918610714
TMEM132A,4.502980462372002
AP2B1,6.136665383221237
TAC1,0.1695550046556426
ZNF263,4.547612134020761
CX3CL1,1.0964497802483515
SPATA20,4.763401816319333
CACNA1G,0.4289155558287666
TNFRSF12A,6.213500967992105
DLX6,0.9885260335212557
MAP3K9,2.036020470880315
RALA,5.039490941298474
BAIAP2L1,3.7633494125504483
KDM7A,1.7917292357875594
ETV1,2.1587328913135186
AGK,4.588407803501567
ALDH3B1,3.247591678411872
TTC22,0.8902316917567957
PHTF2,4.083061846979484
CCL26,0.9626504580222579
FARP2,3.900034257273563
USH1C,0.876779686476181
GGCT,6.381689333664329
DBF4,4.5679401762765925
TBXA2R,0.645630431895157
IFRD1,4.985952462470757
LGALS14,0.1586685748855172
COX10,3.3847652406191657
GTF2IRD1,4.067494268054293
PAF1,5.4874114771664315
VPS41,4.539531378849994
ARHGAP44,1.0666454697533134
ELAC2,5.233006741509179
SCIN,1.071534022570159
ARSD,2.548115223040494
PNPLA4,2.906377778665178
MYH13,0.027782157568306945
ADIPOR2,5.275771524615194
CDKL3,1.4070237357006328
UPP2,0.020051409555911497
PRSS21,1.188181968648074
MARK4,3.7968738717013393
PROM1,1.0256697031555821
CCDC124,6.544161087021641
CEACAM21,0.47502236529169617
PAFAH1B1,5.674193679332458
NOS2,0.21642966108136913
DNAH9,0.25612655516685695
KIAA0100,5.595884934123972
SLC13A2,0.061440666830551466
GAS7,1.2161595681838733
TRAPPC6A,4.719896474851245
MATK,0.9411163590467617
CEACAM7,0.1674400835041171
CD79B,1.0176597073097864
SCN4A,0.2536926308813834
ST7L,3.943730349170269
TKTL1,0.22876074173905067
PAX6,1.5441316949284833
RPUSD1,4.2968209605221
RHBDF1,3.7244110119160285
LUC7L,5.1204791383026045
CACNA2D2,0.7569364607395166
BAIAP3,1.2438227515468936
TSR3,5.219471612896777
PIGQ,4.457457560828055
CRAMP1,3.241860663421282
TEAD3,3.121000591046623
SELE,0.025950868993492703
DNAJC11,5.091347014745551
FMO3,0.20479586708826575
MYLIP,2.855846131954964
NOX1,0.1856970373837682
E2F2,2.5188389561637035
PSMB1,8.148934169476819
SYN1,0.6709327168578716
JARID2,3.199612554584419
CDKL5,0.8890964980462909
CAMK1G,0.23866698267993938
CDK11A,4.8365616434819705
NADK,5.474686987947759
TFAP2B,0.2715285792554301
TFAP2D,0.029967473452529036
DLEC1,0.2164368314579808
CYTH3,3.8876132375632153
ADAM22,1.5510420841025152
SYPL1,6.265737785999042
CYB561,4.409823801838663
SPAG9,5.253103550164144
CELSR3,2.4402239312387835
AASS,2.0929985678772387
PLEKHG6,1.403089449561533
SS18L2,4.489576790129101
MPND,3.4079041732595985
MGST1,5.825068025063626
CRY1,3.5895675464155605
PGLYRP1,0.1242397647561075
NFIX,3.3707516811627967
ST3GAL1,3.090107438039311
MMP25,0.6194456498231072
IL32,3.937247592238846
PKD1,5.018743278699883
MAPK8IP2,1.0561960442241385
MED24,5.525391568932926
RHOBTB2,2.8964885649059995
HEATR5B,3.079240256037305
SEC62,6.171014718486965
RPS20,11.407575207382212
CSDE1,7.715167621359788
UBE3C,5.1319961737852475
REV3L,3.246880067714035
TENM1,0.46335586180665317
PAX7,0.24510410316088527
MASP2,0.7982914401091933
IYD,0.1721513749635342
FAM76A,2.272054816866101
TRAF3IP3,1.0254007136739363
POMT2,3.904262149455469
VTA1,5.305230623034496
MLXIPL,1.240332318657224
BAZ1B,5.387850324091608
RANBP9,4.655231809964852
ETV7,0.8619705350336123
SPRTN,3.1558132649467923
EEF1AKNMT,4.785879508015077
DYRK4,4.405397936928861
ZNF207,6.88438635966428
UQCRC1,7.493370287295218
STARD3NL,5.251223318234606
CD9,6.492789392117479
HHATL,0.10068978334143314
NCAPD2,6.097003682858883
IFFO1,2.0981491043045897
GIPR,1.4131011754176845
PHF7,2.79208649429784
SEMA3G,0.4749911960696372
NISCH,4.5794583269341675
STAB1,0.2752041981249459
FUZ,3.266650624004803
SLC6A13,0.31382452409179307
IDS,4.72842858096507
PRSS3,1.7328304977648676
ZNF200,2.9387622119313197
CD4,0.7602465731215133
LRRC23,3.0792235924010742
BTK,0.8882296313087273
HFE,2.4383451912155025
SCMH1,4.175086291999891
FYN,4.163881559260505
HIVEP2,2.4839765482548257
FMO1,0.06444571445451808
ELOA,4.601247328587635
LYPLA2,5.704401261074467
CLCN6,3.1693087932758273
MRC2,3.1676214611855342
NME1-NME2,4.332881557807968
SLC6A7,0.06546360734651903
TSPAN9,3.11667592076938
BTBD7,3.368339643488895
APBA3,3.459750147104205
MKS1,3.6575698611033816
ABHD5,3.5627530638534597
ANOS1,0.956678083096615
AKAP8L,5.182257235015107
MBTD1,3.073822693841065
UTP18,5.55033801953583
RNF216,4.043073872232927
TTC19,4.525337576998053
PTBP1,7.409509461259339
DPF1,1.7772852195844409
SYT7,1.5751231377844073
LARS2,3.4897265200200063
PIK3C2A,3.818275611431234
PLAUR,4.690162455096808
ANLN,5.693098660186068
WIZ,3.8478445307659284
RABGAP1,4.247454358669334
DCN,1.4904700575919023
QPCTL,3.4284249964384297
PPP5C,5.976164248360927
CEP68,2.5772216998253215
MAP4K3,3.707485019777944
ZBTB32,0.4603121809171549
TYROBP,0.3630053522229022
TMEM159,3.9083694618192273
GABRA3,0.8840354885712763
BRCA1,4.309235308874094
ERCC1,5.5349024672592355
CD22,1.4368622439646908
SEMA3B,2.884555736409882
MBTPS2,3.557328843715514
PRICKLE3,2.767392497103685
LTF,0.23763284155773176
EXTL3,3.5184568039704307
NR1H4,0.23474304791695316
ELOVL5,6.165165674110356
ALOX5,1.2872696178742578
KDM5D,1.1363624325753063
CALCOCO1,4.704241049479629
UBR7,4.613484164032943
MAP4K5,4.264095341542428
EHD3,1.6470133838686876
PSMC4,6.592816565205634
MAN2B2,3.2768352113040677
SLC7A14,0.23379056561477507
CLDN11,1.507320064374274
SLC25A39,6.897115387519065
MVP,5.106203603655893
NUB1,5.233340517836731
PGM3,4.676093969707777
RWDD2A,1.6816160847810229
CLK1,5.686522548380911
POLR3B,2.694600929869009
ANGEL1,3.2504345749950856
RNF14,4.991994814824613
